Title,Author
Zero Day,"Baldacci, David"
Everything You Need to Know About Bisexuality,"Baldino, Greg"
Go Tell It on the Mountain,"Baldwin, James"
The Last Kid Left,"Baldwin, Rosecrans"
The Complete Book of Dreams and Dreaming,"Ball, Pamela J."
What I Lost,"Ballard, Alexandra"
"Gorilla, My Love","Bambara, Toni"
Of Poseidon,"Banks, Anna"
The Book of Fred,"Bardi, Abby"
Crooked Kingdom: A Sequel to Six of Crows,"Bardugo, Leigh"
King of Scars,"Bardugo, Leigh"
Ninth House,"Bardugo, Leigh"
Ruin and Rising,"Bardugo, Leigh"
Shadow and Bone,"Bardugo, Leigh"
Siege and Storm,"Bardugo, Leigh"
Six of Crows,"Bardugo, Leigh"
The Language of Thorns: Midnight Tales and Dangerous Magic,"Bardugo, Leigh"
Wonder Woman: Warbringer,"Bardugo, Leigh"
Taliban Shuffle: Strange Days in Afghanistan and Pakistan,"Barker, Kim"
The House of One Thousand Eyes,"Barker, Michelle"
Killer Spirit,"Barnes, Jennifer Lynn"
The Hawthorne Legacy,"Barnes, Jennifer Lynn"
The Inheritance Games,"Barnes, Jennifer Lynn"
Tales of the Madman Underground,"Barnes, John"
"Hi, Jack!","Barnett, Mac"
The Girl Who Drank the Moon,"Barnhill, Kelly"
Two-Way Street,"Barnholdt, Lauren"
The Truth and Lies of Ella Black,"Barr, Emily"
Kingdom of Souls,"Barron, Rena"
Maya and the Rising Dark,"Barron, Rena"
Lexicon,"Barry, Max"
Troublemakers,"Barter, Catherine"
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell"
Wonders of the Invisible World,"Barzak, Christopher"
Girls Made of Snow and Glass,"Bashardoust, Melissa"
Words and Their Meanings,"Bassett, Kate"
The Burning,"Bates, Laura"
"Harley, Like a Person","Bauer, Cat"
Stonewall: Breaking Out in the Fight for Gay Rights,"Bausum, Ann"
A Psalm for Lost Girls,"Bayerl, Katie"
Cinderella Is Dead,"Bayron, Kalynn"
My Dear Henry: A Jekyll and Hyde Remix,"Bayron, Kalynn"
The Vanquishers,"Bayron, Kalynn"
This Poison Heart,"Bayron, Kalynn"
A Long Way Gone: Memoirs of a Boy Soldier,"Beah, Ishmael"
"March Forward, Girl","Beals, Melba"
I Am J,"Beam, Cris"
The Ship We Built,"Bean, Lexie"
Serafina and the Black Cloak,"Beatty, Robert"
"Aaron Slater, Illustrator","Beaty, Andrea"
"Sofia Valdez, Future Prez","Beaty, Andrea"
Wise Young Fool,"Beaudoin, Sean"
Fun Home: A Family Tragicomic,"Bechdel, Alison"
Flip,"Bedford, Martyn"
Critical Perspectives on Sexual Harassment and Gender Violence,"Being, Bridey"
Queer: The Ultimate LGBTQ Guide for Teens,"Belge, Kathy"
Little Blog on the Prairie,"Bell, Cathleen Davitt"
Hawke,"Bell, Ted"
Death Wind,"Bell, William"
Herzog,"Bellow, Saul"
Jaws,"Benchley, Peter"
The Color Master,"Bender, Aimee"
The Seven Rays,"Bendinger, Jessica"
Glimpse: A YA Paranormal Romance,"Benefiel, Stacey Wallace"
City of Thieves (DB),"Benioff, David"
The Thing About Jellyfish,"Benjamin, Ali"
The Immortalists,"Benjamin, Chloe"
Rival,"Bennett-Wealer, Sara"
The History Boys: A Play,"Bennett, Alan"
Plunking Reggie Jackson,"Bennett, James W."
"Alex, Approximately","Bennett, Jenn"
Chasing Lucky,"Bennett, Jenn"
Starry Eyes,"Bennett, Jenn"
Horde,"Bennett, Marguerite"
Everything You Need to Know About Birth Control,"Benson, Alana"
Dumbness is a Dish Best Served Cold,"Benton, Jim"
Also Known As,"Benway, Robin"
"Audrey, Wait!","Benway, Robin"
Emmy and Oliver,"Benway, Robin"
Far from the Tree,"Benway, Robin"
Mr. Darcy Takes a Wife: A Deliciously Steamy Historical Romance that Starts After the Wedding Night,"Berdoll, Linda"
Midnight in the Garden of Good and Evil,"Berendt, John"
Best in Show,"Berenson, Laurien"
The Dark Days of Hamburger Halpin,"Berk, Josh"
Sexual Violence,"Berlatsky, Noah"
"My Family, Your Family, Our Family","Bernay, Emma"
Dark Eye,"Bernhardt, William"
The Seamstress: A Memoir of Survival,"Bernstein, Sara Tuvel"
All the Truth That's In Me,"Berry, Julie"
Lovely War,"Berry, Julie"
Chance Fortune and the Outlaws,"Berryhill, Shane"
Trans Mission: My Quest to a Beard,"Bertie, Alex"
"One Nation Under Taught: Solving America's Science, Technology, Engineering and Math Crisis","Bertram, Vince M."
A Girl Like That,"Bhathena, Tanaz"
Drowning Instinct,"Bick, Ilsa J."
Monsters,"Bick, Ilsa J."
White Space,"Bick, Ilsa J."
"Drumroll, Please","Bigelow, Lisa Jenn"
A High Five for Glenn Burke,"Bildner, Phil"
"Classical Myth: A Treasury of Greek and Roman Legends, Art, and History","Bingham, Jane"
"Sorted: Growing Up, Coming Out, and Finding My Place","Bird, Jackson"
Attack of the Mutant Underwear,"Birdseye, Tom"
Cold Day in the Sun,"Biren, Sara L."
Pablo,"Birmant, Julie"
"Friday Night Lights: A Town, A Team, and a Dream","Bissinger, H.G."
Bonus Tracks,"Black, Holly"
Coldest Girl in Coldtown,"Black, Holly"
Doll Bones,"Black, Holly"
Geektastic: Stories from the Nerd Herd,"Black, Holly"
How the Prince of Elfhame Learned to Hate Stories,"Black, Holly"
Kin,"Black, Holly"
Red Glove,"Black, Holly"
The Cruel Prince,"Black, Holly"
The Darkest Part of the Forest,"Black, Holly"
The Queen of Nothing,"Black, Holly"
The Stolen Heir,"Black, Holly"
The Wicked King,"Black, Holly"
Tithe,"Black, Holly"
Valiant,"Black, Holly"
White Cat,"Black, Holly"
Boy2Girl,"Blacker, Terence"
Noughts and Crosses,"Blackman, Malorie"
Girl Made of Stars,"Blake, Ashley Herring"
How to Make a Wish,"Blake, Ashley Herring"
Ivy Aberdeen's Letter to the World,"Blake, Ashley Herring"
La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,"Blake, Ashley Herring"
The Mighty Heart of Sunny St. James,"Blake, Ashley Herring"
Night Blood,"Blake, Elly"
Antisocial,"Blake, Jillian"
Five Dark Fates,"Blake, Kendare"
One Dark Throne,"Blake, Kendare"
Queens of Fennbirn,"Blake, Kendare"
Three Dark Crowns,"Blake, Kendare"
Two Dark Reigns,"Blake, Kendare"
Pretty Lies: A Contemporary YA Romance,"Blessing, Blake"
Ugly Truths,"Blessing, Blake"
Echo,"Block, Francesca Lia"
Goat Girls: Two Weetzie Bat Books,"Block, Francesca Lia"
I Was a Teenage Fairy,"Block, Francesca Lia"
Necklace of Kisses,"Block, Francesca Lia"
Pretty Dead,"Block, Francesca Lia"
Psyche in a Dress,"Block, Francesca Lia"
Teen Spirit,"Block, Francesca Lia"
The Rose and The Beast: Fairy Tales Retold,"Block, Francesca Lia"
Weetzie Bat,"Block, Francesca Lia"
Khaled Hosseini's The Kite Runner,"Bloom, Harold"
Tangerine,"Bloor, Edward"
Sex on the Brain: The Biological Differences Between Men and Women,"Blum, Deborah"
Those Who Save Us,"Blum, Jenna"
"Are You There God? It's Me, Margaret","Blume, Judy"
Forever...,"Blume, Judy"
Summer Sisters,"Blume, Judy"
"Then Again, Maybe I Won't","Blume, Judy"
Tiger Eyes,"Blume, Judy"
Let Me Play: The Story of Title IX: The Law That Changed the Future of Girls in America,"Blumenthal, Karen"
Strings Attached,"Blundell, Judy"
What I Saw and How I Lied,"Blundell, Judy"
Revenge of a Not-So-Pretty Girl,"Blythe, Carolita"
The Voices of Rape,"Bode, Janet"
An Assassin's Guide to Love and Treason,"Boecker, Virginia"
Midwives,"Bohjalian, Chris"
Inventing Victoria,"Bolden, Tonya"
Portraits of African-American Heroes,"Bolden,Tonya"
Ripley's Believe it or Not! 100 Years,"Bolin, Carrie"
Ripley's Believe It Or Not! A Century of Strange!,"Bolin, Carrie"
"The Whistleblower: Sex Trafficking, Military Contractors, and One Woman's Fight for Justice","Bolkovac, Kathryn"
Bound by Honor: A Mafioso's Story,"Bonanno, Bill"
A Quick and Easy Guide to They/Them Pronouns,"Bongiovanni, Archie"
Darkthaw,"Boorman, Kate A."
Winterkill,"Boorman, Kate A."
Achilles,"Boose, Greg"
Bronxwood,"Booth, Coe"
Caprice,"Booth, Coe"
Kendra,"Booth, Coe"
Tyrell,"Booth, Coe"
The Need to Know Library: Everything You Need to Know About Sexual Harassment,"Bouchard, Elizabeth"
Firekeeper's Daughter,"Boulley, Angeline"
The Scorpion Rules,"Bow, Erin"
Insignificant Events In The Life Of A Cactus,"Bowling, Dusti"
Starfish (ADB),"Bowman, Akemi Dawn"
She’s Not There: A Life in Two Genders,"Boylan, Jennifer Finney"
The Best American Short Stories 2015,"Boyle, T.C."
The Road to Wellville,"Boyle, T.C."
The Darkest Minds,"Bracken, Alexandra"
The Martian Chronicles,"Bradbury, Ray"
Flight of the Puffin,"Braden, Ann"
The Benefits of Being an Octopus,"Braden, Ann"
Emma's Secret,"Bradford, Barbara Taylor"
Cleopatra,"Bradford, Ernle Dusgate Selby"
The Dark Garden,"Bradley, Eden"
Fighting Words,"Bradley, Kimberly Brubaker"
The War that Saved My Life,"Bradley, Kimberly Brubaker"
The Mists of Avalon,"Bradley, Marion Zimmer"
When the Rainbow Goddess Wept,"Brainard, Cecilia Manguerra"
Fat Cat,"Brande, Robin"
Murder in Mayberry: Death and Mayhem in a Small Town,"Branson, Mary Kinney"
Zenn Diagram,"Brant, Wendy"
Forever in Blue: The Fourth Summer of the Sisterhood,"Brashares, Ann"
Girls In Pants: The Third Summer Of The Sisterhood,"Brashares, Ann"
Sisterhood of the Traveling Pants,"Brashares, Ann"
The Here and Now,"Brashares, Ann"
The Last Summer (of You and Me),"Brashares, Ann"
The Second Summer Of The Sisterhood,"Brashares, Ann"
Whole Thing Together,"Brashares, Ann"
As Old as Time: A Twisted Tail,"Braswell, Liz"
Taking Action for Civil and Political Rights,"Braun, Eric"
A Great and Terrible Beauty,"Bray, Libba"
Beauty Queens,"Bray, Libba"
Before the Devil Breaks You,"Bray, Libba"
Lair of Dreams,"Bray, Libba"
Rebel Angels,"Bray, Libba"
The Diviners,"Bray, Libba"
The King of Crows,"Bray, Libba"
The Sweet Far Thing,"Bray, Libba"
Chlamydia,"Breguet, Amy"
Electric Girl,"Brennan, Michael"
In Other Lands,"Brennan, Sarah Rees"
The Demon's Surrender,"Brennan, Sarah Rees"
Chaucer and His World,"Brewer, Derek"
Monkey Man,"Brewer, Steve"
Into the Real,"Brewer, Z"
The Absolute Value of -1,"Brezenoff, Steven"
You and Me at the End of the World,Brianna Bourne
Sara Will,"Bridgers, Sue Ellen"
Dreaming of Antigone,"Bridges, Robin"
Through My Eyes,"Bridges, Ruby"
The Rule of Claw,"Brindley, John"
Caddie Woodlawn,"Brink, Carol Ryrie"
Nicki Minaj: Conquering Hip Hop,"Britton, Felicity"
The Game of Love and Death,"Brockenbrough, Martha"
Over the Edge,"Brockmann, Suzanne"
One Trick Pony,"Brodsky, Daniella"
Dive Smack,"Brodsky, Demetra"
Boys of Summer,"Brody, Jessica"
A Queer History of the United States,"Bronski, Michael"
Wuthering Heights,"Bronte, Emily"
Year of Wonders: A Novel of the Plague,"Brooks, Geraldine"
Black Rabbit Summer,"Brooks, Kevin"
Candy,"Brooks, Kevin"
Lucas,"Brooks, Kevin"
The Bunker Diary,"Brooks, Kevin"
World War Z: An Oral History of the Zombie War,"Brooks, Max"
Anya's Ghost,"Brosgol, Vera"
Angels and Demons,"Brown, Dan"
The Lost Symbol,"Brown, Dan"
Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,"Brown, Echo"
All That's Left in the World,"Brown, Erik J."
The Bridges of Madison County (Musical Score),"Brown, Jason Robert"
Georgia Peaches and Other Forbidden Fruit,"Brown, Jaye Robin"
The Meaning of Birds,"Brown, Jaye Robin"
Thousand Words,"Brown, Jennifer"
Arthur's Birthday,"Brown, Marc"
Fred Gets Dressed,"Brown, Peter"
Red Rising,"Brown, Pierce"
A Secret Splendor,"Brown, Sandra"
Above and Beyond,"Brown, Sandra"
In a Class by Itself,"Brown, Sandra"
Lethal,"Brown, Sandra"
Seduction by Design,"Brown, Sandra"
Send No Flowers,"Brown, Sandra"
The Crush,"Brown, Sandra"
Unspeakable,"Brown, Sandra"
White Hot,"Brown, Sandra"
XL,"Brown, Scott"
Frequently Asked Questions About Same-Sex Marriage and When A Parent is Gay,"Brown, Tracy"
Chlorine Sky,"Browne, Mahogany L."
Woke: A Young Poets Call to Justice,"Browne, Mahogany L."
Kill or be Killed,"Brubaker, Ed"
Two Roads,"Bruchac, Joseph"
A Bad Kitty Christmas,"Bruel, Nick"
"101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused","Brynie, Faith Hickman"
The Body: A Guide for Occupants,"Bryson, Bill"
Beyond the Break,"Buchta, Heather"
Undertow,"Buckley, Michael"
Helter Skelter: The True Story of the Manson Murders,"Bugliosi, Vincent"
100 Bible Stories,"Bull, Norman J."
Different Can Be Great: All Kinds of Families,"Bullard, Lisa"
Diseases,"Bunch, Bryan"
Felix Yz,"Bunker, Lisa"
Zenobia July,"Bunker, Lisa"
Laughing at My Nightmare,"Burcaw, Shane"
The Manny Files,"Burch, Christian"
Bangkok 8,"Burdett, John"
The Curse of King Tut's Tomb,"Burgan, Michael"
Clockwork Orange,"Burgess, Anthony"
Drawing on Walls: A Story of Keith Haring,"Burgess, Matthew"
Doing It,"Burgess, Melvin"
Nicholas Dane,"Burgess, Melvin"
Smack,"Burgess, Melvin"
The Hit,"Burgess, Melvin"
Heaven's Prisoners,"Burke, James Lee"
Swan Peak,"Burke, James Lee"
The Neon Rain,"Burke, James Lee"
Unplanned Pregnancies,"Burling, Alexis"
Tree,"Burnie, David"
Sanctuary Bay,"Burns, Laura J."
Cold Sassy Tree,"Burns, Olive Ann"
The Glister,"Burnside, John"
Dry,"Burroughs, Augusten"
Running with Scissors: A Memoir,"Burroughs, Augusten"
Summer and the City,"Bushnell, Candace"
The Carrie Diaries,"Bushnell, Candace"
Cursor's Fury,"Butcher, Jim"
Grave Peril,"Butcher, Jim"
Girls Like Me (KB),"Butcher, Kristin"
The Trouble With Liberty,"Butcher, Kristin"
Bloodchild and Other Stories,"Butler, Octavia E."
Kindred,"Butler, Octavia E."
Kindred: A Graphic Novel Adaptation,"Butler, Octavia E."
Speech Sounds,"Butler, Octavia E."
Tell Me Three Things,"Buxbaum, Julie"
Sexually Transmitted Diseases: A Hot Issue,"Byers, Ann"
Teens and Pregnancy: A Hot Issue,"Byers, Ann"
Abandon,"Cabot, Meg"
Airhead,"Cabot, Meg"
All-American Girl,"Cabot, Meg"
Avalon High,"Cabot, Meg"
Being Nikki,"Cabot, Meg"
How to Be Popular,"Cabot, Meg"
Insatiable,"Cabot, Meg"
Jinx,"Cabot, Meg"
Princess in Love,"Cabot, Meg"
Princess in the Spotlight,"Cabot, Meg"
Princess in Training,"Cabot, Meg"
Princess on the Brink,"Cabot, Meg"
Queen of Babble,"Cabot, Meg"
Ready or Not,"Cabot, Meg"
Size 12 Is Not Fat,"Cabot, Meg"
Teen Idol,"Cabot, Meg"
The Princess Diaries,"Cabot, Meg"
The Princess Present: A Princess Diaries Book,"Cabot, Meg"
Victoria and the Rogue,"Cabot, Meg"
The Boy Next Door,"Cabot, Meggin"
Piper Perish,"Cagan, Kayla"
Swim the Fly,"Calame, Don"
The Rule of Four,"Caldwell, Ian"
A Phoenix First Must Burn,"Caldwell, Patrice"
100 Women Who Made History: Remarkable Women Who Shaped Our World,"Caldwell, S. A."
A Heart in a Body in the World,"Caletti, Deb"
"Girl, Unframed","Caletti, Deb"
"Honey, Baby, Sweetheart","Caletti, Deb"
One Great Lie,"Caletti, Deb"
Stay,"Caletti, Deb"
The Epic Story of Every Living Thing,"Caletti, Deb"
The Fortunes of Indigo Skye,"Caletti, Deb"
The Last Forever,"Caletti, Deb"
The Nature of Jade,"Caletti, Deb"
The Queen of Everything,"Caletti, Deb"
