Title,Author,State,District,Date of Challenge/Removal,Ban Status,Initiating Action
Gather Together in My Name,"Angelou, Maya",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
I Know Why The Caged Bird Sings,"Angelou, Maya",Florida,Charlotte County Public Schools,August 2023,Banned,Administration
Now Sheba Sings the Song,"Angelou, Maya",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Singin' and Swingin' and Gettin' Merry Like Christmas,"Angelou, Maya",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Heart of a Woman,"Angelou, Maya",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Different Season,Anonymous,Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
"Annie's Baby: The Diary of Anonymous, a Pregnant Teenager",Anonymous,Florida,Collier County Public Schools,October 2023,Banned,Administration
Being You,Anonymous,Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
Feminism,Anonymous,Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
Lucy in the Sky,Anonymous,Florida,Collier County Public Schools,October 2023,Banned,Administration
The Bible Book,Anonymous,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Book of David,Anonymous,Florida,Collier County Public Schools,October 2023,Banned,Administration
The Holy Bible (King James Version),Anonymous,Florida,Volusia County Schools,October 2023,Banned pending investigation,Formal Challenge
And Eternity,"Anthony, Piers",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Castle Roogna,"Anthony, Piers",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
On A Pale Horse,"Anthony, Piers",Florida,Escambia County Public Schools,May 2024,Banned pending investigation,Administration
Keeper,"Appelt, Kathi",Florida,St. John's County School District,July 2023,Banned by restriction,Administration
Manga Shakespeare: A Midsummer Night's Dream,"Appignanesi, Richard",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The One and Only Bob,"Applegate, Katherine",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
The One and Only Ivan,"Applegate, Katherine",Florida,Clay County School District,December 2023,Banned pending investigation,Formal Challenge
Wishtree,"Applegate, Katherine",Iowa,Spencer Community School District,June 2024,Banned pending investigation,Administration
"Fullmetal Alchemist (Series, Title Not Specified)","Arakawa, Hiromu",Texas,North East Independent School District,June 2024,Banned,Administration
Sons of Fortune,"Archer, Jeffrey",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Crazy Messy Beautiful,"Arcos, Carrie",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Four Plays by Aristophanes: The Birds; The Clouds; The Frogs; Lysistrata,Aristophanes,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Almost Flying,"Arlow, Jake Maia",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
American Roommate Experiment,"Armas, Elena",Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration
Spanish Love Deception,"Armas, Elena",Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration
The Spanish Love Deception,"Armas, Elena",Iowa,Waterloo Community School District,June 2024,Banned pending investigation,Administration
A Shadow in the Ember,"Armentrout, Jennifer L.",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Cursed (JLA),"Armentrout, Jennifer L.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Don't Look Back,"Armentrout, Jennifer L.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
From Blood and Ash,"Armentrout, Jennifer L.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Grace and Glory,"Armentrout, Jennifer L.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
If There's No Tomorrow,"Armentrout, Jennifer L.",Florida,Seminole County Public Schools,April 2024,Banned,Formal Challenge
Meet Cute: Some People Are Destined to Meet,"Armentrout, Jennifer L.",Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
Oblivion,"Armentrout, Jennifer L.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Obsidian,"Armentrout, Jennifer L.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Opposition,"Armentrout, Jennifer L.",Florida,Clay County School District,March 2024,Banned,Formal Challenge
Origin,"Armentrout, Jennifer L.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Rage and Ruin,"Armentrout, Jennifer L.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Shadows,"Armentrout, Jennifer L.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Storm and Fury,"Armentrout, Jennifer L.",Florida,Bay District Schools,April 2024,Banned,Formal Challenge
